,name,price_selloff,memory,hard_drive,price,ratings,status,brand,store
123,Blackberry Keyone Silver,6990000,0,0,0,0,Tạm hết hàng,Blackberry,Ha Nam Mobile
124,Samsung Galaxy A22 LTE A225 (New - BH12T),4899000,LTE,0,0,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
125,Samsung Galaxy M31 M315 (New - BH12T),4709000,BH12T),0,5490000,4,Tạm hết hàng,Samsung,Ha Nam Mobile
126,Lenovo K6 Note (K53A48),4499000,0,0,5990000,0,Giá shock,Lenovo,Ha Nam Mobile
127,Xiaomi Redmi Note 10 5G,4489000,0,0,0,0,Tạm hết hàng,Xiaomi,Ha Nam Mobile
128,Xiaomi Redmi 10 128GB RAM 4GB,4249000,128GB,0,4290000,0,Tạm hết hàng,Xiaomi,Ha Nam Mobile
129,Samsung Galaxy A13 A135 128GB Ram 4GB (New - BH12T),3999000,128GB,4GB,4690000,3,Tạm hết hàng,Samsung,Ha Nam Mobile
130,Huawei Y9 2019,3999000,0,0,5490000,0,Tạm hết hàng,Huawei,Ha Nam Mobile
131,Tecno Pova 2 128GB Ram 6GB,0,128GB,6GB,4990000,9,Tạm hết hàng,Tecno,Ha Nam Mobile
132,Samsung Galaxy A12 A125 128GB Ram 4GB (New - BH12T),3599000,128GB,4GB,4290000,1,Tạm hết hàng,Samsung,Ha Nam Mobile
133,Samsung Galaxy A12 A125 128GB Ram 4GB,3549000,128GB,4GB,4290000,1,Tạm hết hàng,Samsung,Ha Nam Mobile
134,Samsung Galaxy A03s A037 64GB Ram 4GB,3199000,64GB,4GB,3690000,1,Tạm hết hàng,Samsung,Ha Nam Mobile
135,Samsung Galaxy A12 A127 128GB Ram 4GB (New - BH12T),3199000,128GB,4GB,4290000,1,Tạm hết hàng,Samsung,Ha Nam Mobile
136,Samsung Galaxy A03s A037 64GB Ram 4GB (New - BH12T),2999000,64GB,4GB,0,0,Tạm hết hàng,Samsung,Ha Nam Mobile
137,Nokia G10 64GB Ram 4GB,2949000,64GB,4GB,3690000,0,Tạm hết hàng,Nokia,Ha Nam Mobile
138,HTC Desire 626G Plus,2399000,HTC,0,3790000,0,Tạm hết hàng,HTC,Ha Nam Mobile
139,Nokia C2 16GB Ram 1GB,1549000,16GB,1GB,1690000,0,Tạm hết hàng,Nokia,Ha Nam Mobile
140,Coolpad Fancy Plus (E561),1499000,0,0,0,0,Tạm hết hàng,Coolpad,Ha Nam Mobile
141,HTC Desire 210 Dual Sim,900000,HTC,0,0,0,Tạm hết hàng,HTC,Ha Nam Mobile
142,Nokia 215 4G 2020,839000,0,0,0,0,Tạm hết hàng,Nokia,Ha Nam Mobile
143,Nokia 210,779000,0,0,789000,0,Tạm hết hàng,Nokia,Ha Nam Mobile
144,Symphony S50,360000,0,0,0,0,Tạm hết hàng,Symphony,Ha Nam Mobile
145,Coolpad F210,300000,0,0,0,0,Tạm hết hàng,Coolpad,Ha Nam Mobile
146,Coolpad F110,190000,0,0,0,0,Tạm hết hàng,Coolpad,Ha Nam Mobile
